Locus	Identity	Coverage	Alignment Length	Allele Length	Gaps	Allele	name_file
FIA						No hit found	/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/output/Salmonella_only/pMLST/SIML_2017_14/results_tab.tsv
FIB						No hit found	/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/output/Salmonella_only/pMLST/SIML_2017_14/results_tab.tsv
FIC						No hit found	/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/output/Salmonella_only/pMLST/SIML_2017_14/results_tab.tsv
FII						No hit found	/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/output/Salmonella_only/pMLST/SIML_2017_14/results_tab.tsv
FIIK						No hit found	/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/output/Salmonella_only/pMLST/SIML_2017_14/results_tab.tsv
FIIS						No hit found	/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/output/Salmonella_only/pMLST/SIML_2017_14/results_tab.tsv
FIIY						No hit found	/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/output/Salmonella_only/pMLST/SIML_2017_14/results_tab.tsv
FIA						No hit found	/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/output/Salmonella_only/pMLST/W_1_H11/results_tab.tsv
FIB						No hit found	/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/output/Salmonella_only/pMLST/W_1_H11/results_tab.tsv
FIC						No hit found	/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/output/Salmonella_only/pMLST/W_1_H11/results_tab.tsv
FII						No hit found	/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/output/Salmonella_only/pMLST/W_1_H11/results_tab.tsv
FIIK						No hit found	/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/output/Salmonella_only/pMLST/W_1_H11/results_tab.tsv
FIIS						No hit found	/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/output/Salmonella_only/pMLST/W_1_H11/results_tab.tsv
FIIY						No hit found	/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/output/Salmonella_only/pMLST/W_1_H11/results_tab.tsv
FIA	100.0	100.0	383	383	0	FIA_18	/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/output/Salmonella_only/pMLST/ISLHD_2017_4_S118/results_tab.tsv
